User;Text;Date;Label
@mandiricare;@H221221 Halo Bpk/Ibu, mohon menunggu pesan ini akan segera kami balas. Akun resmi Bank Mandiri terdapat centang emas yang terletak di sebelah kanan nama akun. Jangan memberikan data rahasia seperti PIN, 3 angka CVV belakang kartu, MPIN, Password, OTP kepada pihak lain.;2024-04-09 08:30:51+00:00;netral
@weizmlyz_;Klau pinjolnya ilegal cari cara buat galbay bnyk kok threadnya, klau legal diawasi OJK ya mau gak mau bayar, bisa kena daftar hitam nama kakak lo nder di bank, udh jelek bgt pkoknya https://x.com/ven0mxoxo/stat/ven0mxoxo/status/1777256645481185491…;2024-04-09 08:28:24+00:00;sangat negatif
@garangasemanis;Gila. Laporan ke OJK berarti palsi semua?;2024-04-09 08:21:17+00:00;netral
@0xmanise;Emang bisa ya perusahaan buat peraturan penalty 50jt?.. pinjol aja kasi bunga ada batas dari aturan ojk, masa ini ga ada?;2024-04-09 08:18:55+00:00;netral
@rismawirawan;UPDATE TERBARU. kemarin malem pihak OJK minta pdf asli SLIK. yang mana blom bisa kasih, karena foto SLIK yg tertera juga dapetnya dari pihak bank. mau cek BI checking lagi tapi lagi libur lebaran;2024-04-09 08:15:59+00:00;netral
@earlgmilkt;coba pake neo bank makjii, gratis fee transfer dan udh diawasi ojk jugaa;2024-04-09 08:02:59+00:00;positif
@Pengendiemaja;Gais jangan dong pake pinjol ilegal ! kalo beneran butuh cari yang trusted dilindungi OJK. Ini aku rekomendasiin salah satu yng pernah aku pake;2024-04-09 07:30:00+00:00;negatif
@idx_channel;OJK dan BEI masih godok aturan batas Auto Rejection Waran;2024-04-09 07:30:00+00:00;netral
@KnightFriend6;Tambahan Buat Perusahaan Reksa Dana (Aset Management)... 1. Perusahaan Terdaftar Di OJK 2. Karyawan Pengelola Terdaftar Di OJK 3. Karyawan Pengelola Punya Lisensi WMI (Wakil Manajer Investasi);2024-04-09 07:26:43+00:00;netral
@Bbylaa62;Last day puasa daripada nganggur emang pling bener sih min akses LMS Edukasi Keuangan OJK buat ngabuburit sekalian panen ilmu, cusss yuk sobat;2024-04-09 07:19:12+00:00;netral
@KnightFriend6;Kalau Mau Investasi Obligasi Ritel Atau Obligasi Syariah Ritel... 1. Pelajari ORI T3 / ORI T5 atau SR T3 / SR T5 (Syariah), Benefits & Resikonya. 2.Datang Ke Bank Yang Terdaftar Di OJK 3. Buy ORI025T3 / OR1025T5 atau SR020T3 / SR020T5 4. Bayar Ya Pake Cash Kaga Bisa Kredit...;2024-04-09 07:18:03+00:00;netral
@shazamkaboom;Cokkk sisi negatifku ojk metu sekk Aku sedang menghormati keadaane Arghhhhh;2024-04-09 07:08:50+00:00;netral
@KnightFriend6;Kalau Mau Investasi Saham 1. Pelajari Saham, Benefits & Resiko 2. Belajar Analisa Teknikal 3. Belajar Analisa Fundamental 4. Perusahaan Terdaftar Di OJK 5. Agen Sales Terdaftar Di OJK 6. Agen Sales Punya Lisesnsi WPPE. 7. Dana & Saham Di Simpan Di KSEI 8. Saham Dijamin Oleh KPEI;2024-04-09 07:05:58+00:00;netral
@KnightFriend6;Kalau Mau Investasi Unit Link 1. Pelajari Unit Link,Benefits&Resikonya. 2. Perusahaan Terdaftar Di OJK 3. Agen Sales Terdaftar Di OJK 4. Agen Sales Punya Lisesnsi WAPERD (Wakil Perantara Reksa Dana) 5. Dana Investasi Di Simpan Di Bank Kustodian 6. Kalau Saham Di Jamin Oleh KPEI;2024-04-09 06:54:15+00:00;netral
@KnightFriend6;Tips Investasi : 1. Pelajari Investasi Yang Diinginkan. 2. Cek Di OJK Perusahaannya Terdaftar Atau Ga. 3. Cek Di OJK Karyawan Terdaftar Atau Ga. 4. Karyawannya Punya Lisensi Ga. 5. Ada Tempat Penyimpanannya Ga. 6. Ada Yang Menjamin Ga.;2024-04-09 06:50:07+00:00;netral
@Mfthrrzkk;harusnya nancep ke bambu sih, biar orang tuannya lansung tahlilan ga capek ngurusin mereka;2024-04-09 06:27:56+00:00;netral
@CosloveG;Ini namanya menggelapkan uang nasabah secara halus. Seharusnya OJK juga kerja melindungi nasabah bukan maling.;2024-04-09 05:39:40+00:00;positif
@mbahGandalf;"Seyogyanya pa Etho sgr be kerja sama dgn KEJAGUNG & OJK, utk mengetahui hal yg sesungguhnya sdg menimpa tata kelola BUMN. Yg ribet utk pengusutan & inspeksi adlh BUMN yg sudah GO PUBLIC. Permainan ORDAL nya semqkin vulgar & brutal shg hrs ""MENGORBANKAN PARA VENDOR"" & pegawainya";2024-04-09 05:34:33+00:00;netral
@detikfinance;Perlu diingat setiap kredit macet, pihak penyelenggara pinjol berhak melaporkan kepada OJK melalui SLIK OJK atau yang dulu dikenal dengan BI Checking.;2024-04-09 05:33:11+00:00;netral
@tojjws;Mjb, bisa dicek di google kak, apa dia udh dijamin lps ojk atau belumm;2024-04-09 05:32:49+00:00;netral
@validnewsid;<p>Selain mengingatkan agar tak mudah tergiur pinjaman <em>online </em>(pinjol) dan meminjam sesuai kemampuan bayar, OJK mengingatkan masyarakat satu hal lagi.</p> https://validnews.id//ekonomi/momen-lebaran-ojk-ingatkan-agar-tak-mudah-tergiur-pinjaman-online…;2024-04-09 05:16:04+00:00;positif
@akusukaco;SISIHIN DARI THR YA GUYS Info belajar pcpm bi 39 2024 Info bimbel Info paket soal Info lowongan bi;2024-04-09 05:14:20+00:00;netral
@akusukaco;Buat yang mau nyicil PCPM BI 39 2024 yuk mulai sekarang. Mumpung harganya masih 99k, kalau mepet pasti naik. Tahun kemarin buka diagustus. Masih ada sekitar 6 bulan lagi Pakai kode promo dibawah ini masukin keduanya dan diskon 33k Kalau bukan sekarang kapan lagi?;2024-04-09 05:09:09+00:00;netral
@antarabiz;OJK NTT ingatkan masyarakat waspadai penawaran pinjol ilegal;2024-04-09 04:13:05+00:00;netral
@Blue_oceanan;Salah OJK ..harusnya model unitlink di larang dr awal. Dan atur skema komisi agent;2024-04-09 04:08:02+00:00;negatif
@RezalArfa;Percuma juga da ojk jka mereka berpihak pada yg berdasi;2024-04-09 04:05:34+00:00;netral
@Dmihawk71;Kadang agent suka maksa. Tapi balik lagi ke orangnya. Intinya baca polis tdk cocok batalin. Kasus gini mah dr zaman purba udah ada. Ojk cuma tanya, sudah baca polis bu. Ini tiduran depan kantor ujung ujungnya polisi dan nguap aja gitu kayak biasa.;2024-04-09 03:49:05+00:00;positif
@blockvestglobal;“Saat ini kita berada pada tahun transisi peralihan kewenangan pengaturan dan pengawasan aset kripto dari Bappebti ke Otoritas Jasa Keuangan (OJK). #crypto #Bitcoin #blockvestglobal #news;2024-04-09 03:38:06+00:00;netral
@dokjauriel;kalo pinjol ilegal biasanya cm neror telpon aja gk sampe nyamperin ke rumah (gak tau jg sih), trs kalo berani ancem balik aja bakal dilaporkn ke OJK :);2024-04-09 03:34:46+00:00;netral
@Momogie613;Agen asuransi dan orang ojk nih pada ga takut dosa ya?;2024-04-09 03:32:12+00:00;netral
@casaneid;Beb bukannya mau nakut2in tp jangan banyak2 deposit di Bank Neo, dia ga dijamin sama BI OJK karna bunganya lebih tinggi dari ketentuan BI, tkutnya klo perusahaannya kenapa2, ga ada yg bisa jamin duit nasabah balik;2024-04-09 03:11:54+00:00;netral
@erenyuh;Asuransi swasta ini, bener - bener fucked up. Katanya diregulasi oleh OJK, tapi proteksi buat tertanggung mana ? Like, banyak yang udah bilang dijanjikan ini ina itu, programnya ini itu, tapi kurang bisa bertanggung jawab...;2024-04-09 03:09:18+00:00;netral
@Mfthrrzkk;kerja di fnb sama layanan masyarakat;2024-04-09 02:22:15+00:00;netral
@Mfthrrzkk;penyepong timoti ternyata anak pantek ini wkwkwkk sekolah dulu yg bener cil bocil ntar lu kena tipu nangess tolol bngt jadi orang, mau aja di bego begoin in flu encer;2024-04-09 02:08:23+00:00;netral
@idx_channel;Perdalam pasar, OJK finalisasi peraturan tentang transaksi efek https://idxchannel.com/market-news/perdalam-pasar-ojk-finalisasi-peraturan-tentang-transaksi-efek…;2024-04-09 02:00:01+00:00;netral
@alltimedazed;Kadang gue masih ga nyangka tiba2 kenalan sm orang ternyata org itu anaknya direktur ojk, dirut panasonic, yang punya sicepat, dll. Like damn ur parents are powerful isnt it;2024-04-09 01:11:38+00:00;netral
@bianjingg;saur terakhir ram, ojk mokel dino iki;2024-04-08 23:44:14+00:00;netral
@bianjingg;sahur terakhir mal, ojk mokel dino iki;2024-04-08 23:44:00+00:00;netral
@vienrosela;Tp aku udh keburu bayar kak, kesel bgt smpe digituin pdhl baru telat sehari. Pas tau ternyata dia dpt bonus kalau kita bayar, aku jd makin kesel. Jd aku pengen laporin DC nya ke ojk aja haha;2024-04-08 22:49:31+00:00;netral
@coolcatmeowww;Gada cara lain selain lunasin, ini bakal ditagih terus dr pinjolnya krn kesadaran dari peminjam kalau dia minjam, maka dia yg tanggung jawab memenuhi, pihak pemberi pinjaman gatau adanya penipuan dibalik pinjaman, even pemberi pinajaman yg diawasi OJK pun, deal with it https://x.com/ven0mxoxo/stat/ven0mxoxo/status/1777256645481185491…;2024-04-08 22:36:16+00:00;positif
@kinderjoymurce;"eala mengecewakan, tk kiro opo, kadung exited, lakok masalah dijak mudik, emng sender kyke mikire sg due wong tuo mk dee tok mboh nder, btw minal minul sek, ojk mesoh"" ae, ga pareng";2024-04-08 22:02:43+00:00;negatif
@SoulOfZundanese;Kalakuan teu cayaan, cayana ka OJK hungkul;2024-04-08 21:21:58+00:00;netral
@jibrannajibs_s8;Akhirnya Resmi juga gua dibuatkan Surat Izin Usaha sama Relawan Rumah Zakat terima Kasih atas Bantuan dananya dari Projek Ojk juga Yang telah Bantu UMKM semoga lancar rumah zakat dan Ojk thanks tuhan yang bakal balasa kebaikannya #Suratizinusaha #Jasalogo #Rumahzakat #OJk;2024-04-08 21:04:36+00:00;positif
@denbagus_dl;Halo @ojkindonesia mhn perhatian, bukankah asuransi ini dibawah pengawasan OJK juga ya?;2024-04-08 20:50:34+00:00;netral
@bukanhadee;ramadhan pertama sama kaconk full lancarrr;2024-04-08 20:30:38+00:00;netral
@bukanhadee;bagi;2024-04-08 20:17:11+00:00;netral
@bukanhadee;byohh arya;2024-04-08 20:10:10+00:00;netral
@inurmindbtch;emang ga waras ka, kredit pintar harus di laporin rame² ini mahh ke ojk. kalo sampe sebar data gausah di bayar ka;2024-04-08 18:47:44+00:00;netral
@Mfthrrzkk;biasalah kelakuan rahayuk penyembah renkarnasi satrio piningit itu;2024-04-08 18:26:56+00:00;netral
@DDungtek;Heran kenapa masih bnyk yg simpen di dana pdhl udah banyak kejadian duit ilang trus sekarang udah g dpet ijin dari OJK. Mending gopay g sih nyaman bisa disambungin ke tokped dpet cashback pula, ada gratis transfer tiap bulan, pulsa murah;2024-04-08 18:19:07+00:00;positif
@retizen_id;Dalam mendukung akselerasi upaya peningkatan literasi keuangan berbasis digital, OJK menyediakan infrastruktur literasi keuangan atau Learning Manegement System Edukasi Keuangan (LMSKU) yakni system pembelajaran berbasis website untuk memudahkan gene;2024-04-08 18:12:04+00:00;netral
@alazka87;Ngono iku ojk di terusno mas, lanjut mene maneh;2024-04-08 18:10:29+00:00;netral
@Mfthrrzkk;"kami menyebutnya ""Tumbuang""";2024-04-08 17:22:20+00:00;netral
@rizalLnyabesar;Wes ojk tukaran. Kalian berdua kirim skin ng aku, dah adil wkwkwk;2024-04-08 17:20:08+00:00;netral
@samidddi;makane lek miskin iku ojk males mas https://x.com/ub_mfs/status//ub_mfs/status/1777224707118600388…;2024-04-08 16:34:52+00:00;netral
@rismawirawan;tadi dr pihak OJK minta file pdf slik kak. kakak juga kasusnya serupa?coba kak di up juga aja disini :’);2024-04-08 16:23:10+00:00;netral
@sgrcndygf;gakpopo nder,wis ojk nangizz;2024-04-08 15:42:48+00:00;netral
@SyafiraFalisha;OJK PANTAU PAYLATER | semakin banyak aduan OJK pantau ketat paylater ya guys #edukasi #konsultasigratis #solusi #jokipinjolamanah Sorotan Pengikut;2024-04-08 15:21:53+00:00;positif
@anoyvyns;Jadi ingat kemarin nomernya bos OJK di jadikan nomer darurat sama nasabah pinjol;2024-04-08 14:23:00+00:00;netral
@IDNTimes;OJK Catat Kenaikan Kredit Macet Pinjol, 360Kredi Lakukan Ini;2024-04-08 14:04:35+00:00;netral
@Mfthrrzkk;tapi tetep aja profit bandaranya masuk ke kantong bos bos gudang garam perokok mah tetap penyakitan dan miskin petani tembakau tetap miskin juga;2024-04-08 12:00:30+00:00;netral
@Mfthrrzkk;kantornya mirip kost kosan, pesan di forward (berarti dikirim ke banyak orang) tiati nder tra di suruh gabung pialang atau penipuan;2024-04-08 11:56:33+00:00;sangat negatif
@kredivo;@dwiaji1919 Hi kak, mohon maaf atas kendala yang dialami. Saat ini Kredivo hanya menjalankan ketentuan yang diterbitkan OJK sebagai regulator, dimana setiap keterlambatan akan dikenakan bunga sebesar 4% dan #1;2024-04-08 11:45:28+00:00;netral
@Izaaasaja;Kalau sampe nyebar data bisa dilaporkan kak kek ojk, aku juga ngancem kalau sebar data bakal aku laporin ojk diem skrg. Harus sabar aja ngadepin DC nya;2024-04-08 11:31:55+00:00;netral
@bankneocommerce;Ngucapin sih, tapi kok gini? Hati-hati phising berkedok ucapan Lebaran! Selalu waspada, Neotizen! *phising: pencurian data pribadi oleh pelaku penipuan PT Bank Neo Commerce Tbk berizin & diawasi OJK, serta merupakan bank peserta penjaminan LPS.;2024-04-08 10:42:58+00:00;sangat negatif
@courztly;banyak kasus kayak saldo nya kesedot sendiri tp banyak juga yang kasus kayak gitu karena kelalaian pengguna nya, jelek nya dana juga cs nya kurang responsif sih + danaa katanya enggak diawasin ojk. aku saranin kalau mau nabung nabung gitu mending jangan ke ewallet;2024-04-08 10:06:07+00:00;sangat negatif
@Mfthrrzkk;kalo pun ada yg viral nanti muncul versi remix sama versi koplonya katanya biar lebih indonesia dikira sumatra gak masuk indonesia apa;2024-04-08 09:57:44+00:00;netral
@kredivo;@Mamaknya_ika mohon maaf sebelumnya ya kak, Kredivo hanya menjalankan ketentuan dari OJK, setiap keterlambatan dikenakan bunga denda 10% per 1 bulan serta ada pengingat oleh tim terkait. #1;2024-04-08 09:57:00+00:00;netral
@1792_c;pake bank jago recommended bgtt! aman diawasi OJK & peserta penjaminan LPS, free admin bulanan ada fitur pocket yg bisa misahin buat keperluan nabung, jajan, dll. bisa di lock jg biar gakepake boleh cek penjelasan lengkapnya disini (https://x.com/kireimiya/status/1715924291035033656?s=20…);2024-04-08 09:28:41+00:00;positif
@chnljhn;WTA kalo gak nutup rekening bisa masuk ke slip (?) OJK kah?? Pas mau login udah gak terdaftar sih, tp dulu gak ngurus penutupan akun. Kalo mau ngurus apa harus bayar admin yg bertahun gak dibayar apa gimana?;2024-04-08 09:25:14+00:00;netral
@kireimiya;nabung di SEABANK bagus bgttt!! aman diawasi OJK + peserta penjaminan LPS, free biaya admin bulanan & free transfer kmn ajaa yukk daftar skrg mumpung ada bonus saldo kalo daftar bisa di cek penjelasannya disini yaa^^ (https://x.com/CrescenciaMin/status/1770638365563785620?t=17NClvZBEQLw_iJNOlQTRw&s=19…);2024-04-08 09:24:18+00:00;positif
@JeniusConnect;Customer Service resmi Jenius (24 jam): Call Center: 1500 365 E-mail: jenius-help@btpn.com X: @jeniushelp PT Bank BTPN Tbk berizin dan diawasi oleh Otoritas Jasa Keuangan (OJK), Bank Indonesia (BI) dan merupakan peserta penjaminan LPS.;2024-04-08 09:11:42+00:00;netral
@SansS4nbg;Agree. Yg jd konsen gue adalah “platform”-nya dan bukan pada bagian “pengawasan ojk” nya. Gue berangkat dari resiko sistem digital, bnyk kasus dan org yg abai ttg keamanannya. Jd yg paling tepat gue rasa ya menabung model konvensional yg lama.;2024-04-08 09:01:02+00:00;positif
@singa_fintech;Ini nih cara agar pinjaman kamu di Singa cepat disetujui! yuk ajukan pinjaman di Singa! ————————————————— PT Abadi Sejahtera Finansindo telah berizin dan diawasi oleh Otoritas Jasa Keuangan (OJK) 1500066 cs@singa.id #SingaFintech #KreditDigital #PinjamanOnline;2024-04-08 09:00:01+00:00;positif
@Serlokayokgas;Bukannya dana sudah tidak kerja sama dengan OJK gak sih? Lebih aman gopay atau ovo malah mau puluhan juta jg aman aja;2024-04-08 08:57:14+00:00;positif
@milamila_m;Oleh karena itu, pastikan lindungi PIN-mu dengan baik. Tips ini juga disampaikan oleh OJK. #JagaDataPribadi #TetapWaspadaSoceng #reqread;2024-04-08 08:44:42+00:00;positif
@aaajaeam;undangan e ojk lali;2024-04-08 08:41:14+00:00;netral
@dicoding;PT Bank DBS Indonesia berizin dan diawasi oleh Otoritas Jasa Keuangan (OJK) dan Bank Indonesia (BI), serta merupakan peserta penjaminan Lembaga Penjamin Simpanan (LPS).;2024-04-08 08:32:48+00:00;netral
@Mirna_ojk;#yes #thr plus #cuti 7 hari;2024-04-08 08:21:21+00:00;netral
@rasa_original;Gua pasti udah kerja di OJK atau BI. Kedua gua masih bareng sama Millen gak ketemu tuh mantan gua yg jahat kmrn.;2024-04-08 07:34:08+00:00;netral
@CillaMarti99647;Iya ka, aku CC ojk;2024-04-08 07:31:13+00:00;netral
@DropHuntt;"Shopee mana ada pake nomor pribadi kayak gitu Lagian telat sebulan itu status di SLIK OJK masih ""Perhatian khusus"", belum jadi kredit ""Macet"". Mana bisa blacklist OJK. Dikerjain bocil2 DC. Tunggu aja 3 hari gw jamin gak ada yg nongol";2024-04-08 06:41:52+00:00;netral
@nes5aseptina23;Di teror ga tuh ? Hei penipu gada otak ! Karna anda, saya yang di teror ! Kalo mau nipu, cari yang anda tipu pun dia masih bisa kasih makan anaknya ! Udah kek gini, anak saya dan keluarga saya pun terancam Salah saya percaya pada orang yang salah;2024-04-08 06:36:07+00:00;negatif
@bursasyariah;Setuju ga sih, kolaborasi jadi kunci kemajuan keuangan syariah? Yuk, share pendapatmu tentang keuangan syariah di kolom komentar! #syariah #syariahislam #syariahbisnis #SyariahFinance #ojkindonesia #ojk #ramadan #ramadankarim #ramadanvibes #ramadan1445h #ramadankareem;2024-04-08 06:09:48+00:00;netral
@bursasyariah;Kepala Eksekutif Pengawas Perilaku Pelaku Usaha Jasa Keuangan, Edukasi, dan Pelindungan Konsumen Otoritas Jasa Keuangan (OJK), Friderica Widyasari Dewi, mengatakan penguatan keuangan syariah dapat dilakukan melalui sinergi dan kolaborasi dengan berbagai pihak.;2024-04-08 06:09:47+00:00;netral
@flxwerangels;Ada gila2nya Indodana ngakalin peraturan OJK. 1. Kalau udah bilang gak setuju, apa jaminannya bakal ditanggepin? 2. Peraturan penagihan itu warisan dari peraturan BI terkait penagihan kartu kredit. Gaada cerita bank ngakalin peraturan sampe segininya. Pinjol emang atur negara?;2024-04-08 05:48:08+00:00;netral
@Bbylaa62;Info yang sangat nenarik min, terima kasih Dari video tsb dipetik 4 poin: 1. Pahami kebutuhan dan kemampun 2. Buat rencana pengeluaran 3. Bawa uang secukupnya 4. Jika ada kebutuhan mendesak manfaatkan produk dan pembiayaan dari lembaga jasa keuangan yang berizin dan diawasi OJK;2024-04-08 05:24:09+00:00;netral
@TiyarmanGulo;Check out 'OJK Inisiasi Pembentukan Database Polis Asuransi Nasional: Langkah Maju Menuju Industri Asuransi yang Lebih Transparan dan Terintegrasi' on Respon Radio Padang website https://responradio.com/ojk-inisiasi-pembentukan-database-polis-asuransi-nasional-langkah-maju-menuju-industri-asuransi-yang-lebih-transparan-dan-terintegrasi/…;2024-04-08 05:16:42+00:00;netral
@kredivo;@r_kapau @Partono_ADjem yang tertera tanggal, jam, nominal serta nomor virtual account ke email Kredivo, Dan menanggapi pernyataan mengenai fc saat ini Kredivo hanya menjalankan ketentuan yang diterbitkan OJK sebagai regulator #3;2024-04-08 05:11:06+00:00;netral
@dgresaurus;now: mikirin cara magang di BEI next: mikirin cara magang di OJK MANIFESTING;2024-04-08 05:10:53+00:00;netral
@logikakalsehat;Wah bener juga sih, tapi BI dan OJK begitu sih ngitungnya;2024-04-08 04:56:59+00:00;netral
@produkmarketfit;Semua dompet digital emg bukan di bawah pengawasan OJK, mereka diawasi sama Bank Indonesia.;2024-04-08 04:31:58+00:00;netral
@Pengendiemaja;Fix kalo kalian cari pinjaman online mending di akulaku aja. Legal udh pasti OJK. Data juga aman ga bakal kesebar kaya di pinjol ilegal. ini aku buatkan reviewnya. semoga membantu.;2024-04-08 04:30:00+00:00;positif
@hdljunior;Mungkin bisa mati kak kalo udah abis masa aktifnya, cuma kan ada iuran tahunan dan itu masuknya jadi hutang nasabah, dan sayangnya tercatat juga di Slik OJK, kalo gak dibayar score credit kita jadi jelek huhuhu;2024-04-08 04:21:54+00:00;sangat negatif
@bankneocommerce;Butuh bantuan atau informasi seputar neobank saat libur Lebaran? Tenang.. Customer Care Bank Neo Commerce selalu ada buat Neotizen! PT Bank Neo Commerce Tbk berizin & diawasi OJK, serta merupakan bank peserta penjaminan LPS. #neobank #UntungAdaneobank #kanalresmi;2024-04-08 04:03:26+00:00;netral
@hamburgermekdi;Gue udh males deh gunain kredivo cm mau anbil paketan tgl tua begini mulu percuma limit bnyk gbs dipake fuuh apa karna faktor disentil ojk?;2024-04-08 02:56:52+00:00;netral
@Haaaasyimm;Ojk lah alay;2024-04-08 02:37:05+00:00;netral
