User;Text;Date;Label;Cleaned_Text
@bankneocommerce;Tak terasa Idulfitri sudah di depan mata. Semoga ibadah di bulan Ramadan kemarin menghantarkan banyak berkah dan keberuntungan di hari Kemenangan Selamat Idulfitri 1445 H! PT Bank Neo Commerce Tbk berizin & diawasi OJK serta merupakan bank peserta penjaminan LPS;2024-04-09 12:46:34+00:00;netral;idulfitri mata semoga ibadah ramadan kemarin menghantarkan berkah keberuntungan kemenangan selamat idulfitri h pt bank neo commerce tbk berizin diawasi ojk bank peserta penjaminan lp
@Pengendiemaja;list pinjol legal dari OJK yang terbukti bisa mencairkan dana instan silakan dibaca thread dibawah https://x.com/Pengendiemaja/status/1581849977113874432?s=24…;2024-04-09 11:35:00+00:00;netral;list pinjol legal ojk terbukti mencairkan dana instan silakan dibaca thread dibawah
@bukanhadee;Sengkok kodhu andik arteh gebhei engkok kadek sebeluna engkok deddi oreng se andik reggeh ka orang laen.;2024-04-09 11:19:39+00:00;netral;sengkok kodhu andik arteh gebhei engkok kadek sebeluna engkok deddi oreng andik reggeh ka orang laen
@bukanhadee;Reggheih oreng se bejik ka be'en.;2024-04-09 11:09:40+00:00;netral;reggheih oreng bejik ka been
@Bisniscom;OJK Bubarkan Dana Pensiun Jasa Tirta II, Begini Nasib Uang Peserta;2024-04-09 11:00:35+00:00;netral;ojk bubarkan dana pensiun jasa tirta ii nasib uang peserta
1400+ TESTI | JOKI TOEFL @SCIENTIFICMEAL;yuk yang butuh toefl terima jadi buat cpns, bumn atau keperluan lainnya bisa ke aku ya. terbukti tembus cpns, bumn, ojk dll ONLY 135K terima jadi! lagi ada diskon juga, bisa dm/wa dulu aja biar aku spill info toefl http://wa.me/6282386122101 #zonauang #zonajajan #jokitoefl;2024-04-09 10:49:07+00:00;netral;yuk butuh toefl terima cpns bumn keperluan ya terbukti tembus cpns bumn ojk dll only k terima diskon dmwa aja biar spill info toefl zonauang zonajajan jokitoefl
1400+ TESTI | JOKI TOEFL @SCIENTIFICMEAL;MAU DAFTAR CPNS BUMN & BELUM ADA TOEFL? Yuk order joki toefl di @scientificmeal , sedia toefl dari prediction sampe TOEFL ITP! ONLY 135K TERIMA JADI, sertif legal, bisa req score & pengerjaan satset. Tembus PT KAI, CPNS, BUMN, OJK, dll info toefl #zonauang #zonajajan;2024-04-09 10:48:45+00:00;netral;daftar cpns bumn toefl yuk order joki toefl sedia toefl prediction sampe toefl itp only k terima sertif legal req score pengerjaan satset tembus pt kai cpns bumn ojk dll info toefl zonauang zonajajan
@myhappys0ul;curiga bgt tahun depan MT BUMN/OJK/LPS atau PCPM BI soalnya aku tahun ini lebaran pun masih masuk kerja.... mentalnya dah terlatih utk selalu dibawah tekanan....;2024-04-09 10:40:27+00:00;netral;curiga bgt mt bumnojklps pcpm bi lebaran masuk kerja mentalnya dah terlatih utk dibawah tekanan
@Pengendiemaja;Tanpa NPWP Dan Slip Gaji Cair Hitungan Menit. EasyCash Pinjaman Online yang udah OJK dan Legal. Monggo ini infonya,;2024-04-09 10:40:00+00:00;positif;npwp slip gaji cair hitungan menit easycash pinjaman online udah ojk legal monggo infonya
@IESR;Sobat Essentials! Otoritas Jasa Keuangan (OJK) telah merilis Taksonomi untuk Keuangan Berkelanjutan Indonesia (TKBI) yang memperbarui Taksonomi Hijau Indonesia (#THI). TKBI memberikan #panduan untuk mengklasifikasikan aktivitas ekonomi, membantu dalam menilai apakah suatu;2024-04-09 10:11:14+00:00;netral;sobat essential otoritas jasa keuangan ojk merilis taksonomi keuangan berkelanjutan indonesia tkbi memperbarui taksonomi hijau indonesia thi tkbi panduan mengklasifikasikan aktivitas ekonomi membantu menilai
@bukanhadee;yg mau kasi thr langsung aja gausah sungkan”;2024-04-09 09:59:15+00:00;netral;yg kasi thr langsung aja gausah sungkan
@Bisniscom;OJK Sarankan Pakai Asuransi Kecelakaan Diri, Kendaraan dan Rumah Sebelum Mudik;2024-04-09 09:51:10+00:00;netral;ojk sarankan pakai asuransi kecelakaan kendaraan rumah mudik
@ardysetyo;OJK Sebut Perlu Waktu Untuk Merger Bank Muamalat dan UUS Bank BTN http://dlvr.it/T5GPmT;2024-04-09 09:48:07+00:00;netral;ojk merger bank muamalat uus bank btn
@kredivo;@r_kapau @Partono_ADjem Hi Kredipal. Mohon maaf atas kendala yang dialami. Saat ini Kredivo hanya menjalankan ketentuan yang diterbitkan OJK sebagai regulator, dimana setiap keterlambatan akan dikenakan bunga sebesar 4% dan denda keterlambatan 6% per 1 bulan. #1;2024-04-09 09:33:28+00:00;netral;hi kredipal mohon maaf kendala dialami kredivo menjalankan ketentuan diterbitkan ojk regulator dimana keterlambatan dikenakan bunga denda keterlambatan
@Mr_Banzaii;Nah.. coba tuh pejabat2 ojk.. respon dong... btw urusan ajk kresna aja ga kelar2 smpe skrg.. pdhl dah bnyk yg lapor ke ojk.. bijimana urusannya..;2024-04-09 09:32:31+00:00;netral;coba tuh pejabat ojk respon btw urusan ajk kresna aja ga kelar smpe skrg pdhl dah bnyk yg lapor ojk bijimana urusannya
@mandiricare;@H221221 Halo Bpk/Ibu, mohon menunggu pesan ini akan segera kami balas. Akun resmi Bank Mandiri terdapat centang emas yang terletak di sebelah kanan nama akun. Jangan memberikan data rahasia seperti PIN, 3 angka CVV belakang kartu, MPIN, Password, OTP kepada pihak lain.;2024-04-09 08:30:51+00:00;netral;halo bpkibu mohon menunggu pesan balas akun resmi bank mandiri centang emas terletak sebelah kanan nama akun data rahasia pin angka cvv kartu mpin password otp
@weizmlyz_;Klau pinjolnya ilegal cari cara buat galbay bnyk kok threadnya, klau legal diawasi OJK ya mau gak mau bayar, bisa kena daftar hitam nama kakak lo nder di bank, udh jelek bgt pkoknya https://x.com/ven0mxoxo/stat/ven0mxoxo/status/1777256645481185491…;2024-04-09 08:28:24+00:00;sangat negatif;klau pinjolnya ilegal cari galbay bnyk threadnya klau legal diawasi ojk ya gak bayar kena daftar hitam nama kakak lo nder bank udh jelek bgt pkoknya
@garangasemanis;Gila. Laporan ke OJK berarti palsi semua?;2024-04-09 08:21:17+00:00;netral;gila laporan ojk palsi
@0xmanise;Emang bisa ya perusahaan buat peraturan penalty 50jt?.. pinjol aja kasi bunga ada batas dari aturan ojk, masa ini ga ada?;2024-04-09 08:18:55+00:00;netral;emang ya perusahaan peraturan penalty jt pinjol aja kasi bunga bata aturan ojk ga
@rismawirawan;UPDATE TERBARU. kemarin malem pihak OJK minta pdf asli SLIK. yang mana blom bisa kasih, karena foto SLIK yg tertera juga dapetnya dari pihak bank. mau cek BI checking lagi tapi lagi libur lebaran;2024-04-09 08:15:59+00:00;netral;update terbaru kemarin malem ojk pdf asli slik blom kasih foto slik yg tertera dapetnya bank cek bi checking libur lebaran
@earlgmilkt;coba pake neo bank makjii, gratis fee transfer dan udh diawasi ojk jugaa;2024-04-09 08:02:59+00:00;positif;coba pake neo bank makjii gratis fee transfer udh diawasi ojk jugaa
@Pengendiemaja;Gais jangan dong pake pinjol ilegal ! kalo beneran butuh cari yang trusted dilindungi OJK. Ini aku rekomendasiin salah satu yng pernah aku pake;2024-04-09 07:30:00+00:00;negatif;gais pake pinjol ilegal kalo beneran butuh cari trusted dilindungi ojk rekomendasiin salah yng pake
@idx_channel;OJK dan BEI masih godok aturan batas Auto Rejection Waran;2024-04-09 07:30:00+00:00;netral;ojk bei godok aturan bata auto rejection waran
@KnightFriend6;Tambahan Buat Perusahaan Reksa Dana (Aset Management)... 1. Perusahaan Terdaftar Di OJK 2. Karyawan Pengelola Terdaftar Di OJK 3. Karyawan Pengelola Punya Lisensi WMI (Wakil Manajer Investasi);2024-04-09 07:26:43+00:00;netral;tambahan perusahaan reksa dana aset management perusahaan terdaftar ojk karyawan pengelola terdaftar ojk karyawan pengelola lisensi wmi wakil manajer investasi
@Bbylaa62;Last day puasa daripada nganggur emang pling bener sih min akses LMS Edukasi Keuangan OJK buat ngabuburit sekalian panen ilmu, cusss yuk sobat;2024-04-09 07:19:12+00:00;netral;last day puasa nganggur emang pling bener sih min akses lm edukasi keuangan ojk ngabuburit panen ilmu cuss yuk sobat
@KnightFriend6;Kalau Mau Investasi Obligasi Ritel Atau Obligasi Syariah Ritel... 1. Pelajari ORI T3 / ORI T5 atau SR T3 / SR T5 (Syariah), Benefits & Resikonya. 2.Datang Ke Bank Yang Terdaftar Di OJK 3. Buy ORI025T3 / OR1025T5 atau SR020T3 / SR020T5 4. Bayar Ya Pake Cash Kaga Bisa Kredit...;2024-04-09 07:18:03+00:00;netral;investasi obligasi ritel obligasi syariah ritel pelajari ori t ori t sr t sr t syariah benefit resikonya bank terdaftar ojk buy orit ort srt srt bayar ya pake cash kaga kredit
@shazamkaboom;Cokkk sisi negatifku ojk metu sekk Aku sedang menghormati keadaane Arghhhhh;2024-04-09 07:08:50+00:00;netral;cokkk sisi negatifku ojk metu sekk menghormati keadaane arghhhhh
@KnightFriend6;Kalau Mau Investasi Saham 1. Pelajari Saham, Benefits & Resiko 2. Belajar Analisa Teknikal 3. Belajar Analisa Fundamental 4. Perusahaan Terdaftar Di OJK 5. Agen Sales Terdaftar Di OJK 6. Agen Sales Punya Lisesnsi WPPE. 7. Dana & Saham Di Simpan Di KSEI 8. Saham Dijamin Oleh KPEI;2024-04-09 07:05:58+00:00;netral;investasi saham pelajari saham benefit resiko belajar analisa teknikal belajar analisa fundamental perusahaan terdaftar ojk agen sale terdaftar ojk agen sale lisesnsi wppe dana saham simpan ksei saham dijamin kpei
@KnightFriend6;Kalau Mau Investasi Unit Link 1. Pelajari Unit Link,Benefits&Resikonya. 2. Perusahaan Terdaftar Di OJK 3. Agen Sales Terdaftar Di OJK 4. Agen Sales Punya Lisesnsi WAPERD (Wakil Perantara Reksa Dana) 5. Dana Investasi Di Simpan Di Bank Kustodian 6. Kalau Saham Di Jamin Oleh KPEI;2024-04-09 06:54:15+00:00;netral;investasi unit link pelajari unit linkbenefitsresikonya perusahaan terdaftar ojk agen sale terdaftar ojk agen sale lisesnsi waperd wakil perantara reksa dana dana investasi simpan bank kustodian saham jamin kpei
@KnightFriend6;Tips Investasi : 1. Pelajari Investasi Yang Diinginkan. 2. Cek Di OJK Perusahaannya Terdaftar Atau Ga. 3. Cek Di OJK Karyawan Terdaftar Atau Ga. 4. Karyawannya Punya Lisensi Ga. 5. Ada Tempat Penyimpanannya Ga. 6. Ada Yang Menjamin Ga.;2024-04-09 06:50:07+00:00;netral;tip investasi pelajari investasi cek ojk perusahaannya terdaftar ga cek ojk karyawan terdaftar ga karyawannya lisensi ga penyimpanannya ga menjamin ga
@Mfthrrzkk;harusnya nancep ke bambu sih, biar orang tuannya lansung tahlilan ga capek ngurusin mereka;2024-04-09 06:27:56+00:00;netral;nancep bambu sih biar orang tuannya lansung tahlilan ga capek ngurusin
@CosloveG;Ini namanya menggelapkan uang nasabah secara halus. Seharusnya OJK juga kerja melindungi nasabah bukan maling.;2024-04-09 05:39:40+00:00;positif;namanya menggelapkan uang nasabah halus ojk kerja melindungi nasabah maling
@mbahGandalf;"Seyogyanya pa Etho sgr be kerja sama dgn KEJAGUNG & OJK, utk mengetahui hal yg sesungguhnya sdg menimpa tata kelola BUMN. Yg ribet utk pengusutan & inspeksi adlh BUMN yg sudah GO PUBLIC. Permainan ORDAL nya semqkin vulgar & brutal shg hrs ""MENGORBANKAN PARA VENDOR"" & pegawainya";2024-04-09 05:34:33+00:00;netral;seyogyanya pa etho sgr be kerja dgn kejagung ojk utk yg sesungguhnya sdg menimpa tata kelola bumn yg ribet utk pengusutan inspeksi adlh bumn yg go public permainan ordal nya semqkin vulgar brutal shg hr mengorbankan vendor pegawainya
@detikfinance;Perlu diingat setiap kredit macet, pihak penyelenggara pinjol berhak melaporkan kepada OJK melalui SLIK OJK atau yang dulu dikenal dengan BI Checking.;2024-04-09 05:33:11+00:00;netral;kredit macet penyelenggara pinjol berhak melaporkan ojk slik ojk dikenal bi checking
@tojjws;Mjb, bisa dicek di google kak, apa dia udh dijamin lps ojk atau belumm;2024-04-09 05:32:49+00:00;netral;mjb dicek google kak udh dijamin lp ojk belumm
@validnewsid;<p>Selain mengingatkan agar tak mudah tergiur pinjaman <em>online </em>(pinjol) dan meminjam sesuai kemampuan bayar, OJK mengingatkan masyarakat satu hal lagi.</p> https://validnews.id//ekonomi/momen-lebaran-ojk-ingatkan-agar-tak-mudah-tergiur-pinjaman-online…;2024-04-09 05:16:04+00:00;positif;pselain mudah tergiur pinjaman emonline empinjol meminjam sesuai kemampuan bayar ojk masyarakat lagip
@akusukaco;SISIHIN DARI THR YA GUYS Info belajar pcpm bi 39 2024 Info bimbel Info paket soal Info lowongan bi;2024-04-09 05:14:20+00:00;netral;sisihin thr ya guy info belajar pcpm bi info bimbel info paket info lowongan bi
@akusukaco;Buat yang mau nyicil PCPM BI 39 2024 yuk mulai sekarang. Mumpung harganya masih 99k, kalau mepet pasti naik. Tahun kemarin buka diagustus. Masih ada sekitar 6 bulan lagi Pakai kode promo dibawah ini masukin keduanya dan diskon 33k Kalau bukan sekarang kapan lagi?;2024-04-09 05:09:09+00:00;netral;nyicil pcpm bi yuk mumpung harganya k mepet kemarin buka diagustus pakai kode promo dibawah masukin diskon k
@antarabiz;OJK NTT ingatkan masyarakat waspadai penawaran pinjol ilegal;2024-04-09 04:13:05+00:00;netral;ojk ntt ingatkan masyarakat waspadai penawaran pinjol ilegal
@Blue_oceanan;Salah OJK ..harusnya model unitlink di larang dr awal. Dan atur skema komisi agent;2024-04-09 04:08:02+00:00;negatif;salah ojk model unitlink larang dr atur skema komisi agent
@RezalArfa;Percuma juga da ojk jka mereka berpihak pada yg berdasi;2024-04-09 04:05:34+00:00;netral;da ojk jka berpihak yg berdasi
@Dmihawk71;Kadang agent suka maksa. Tapi balik lagi ke orangnya. Intinya baca polis tdk cocok batalin. Kasus gini mah dr zaman purba udah ada. Ojk cuma tanya, sudah baca polis bu. Ini tiduran depan kantor ujung ujungnya polisi dan nguap aja gitu kayak biasa.;2024-04-09 03:49:05+00:00;positif;kadang agent suka maksa orangnya intinya baca polis tdk cocok batalin gini mah dr zaman purba udah ojk baca polis bu tiduran kantor ujung ujungnya polisi nguap aja gitu kayak
@blockvestglobal;“Saat ini kita berada pada tahun transisi peralihan kewenangan pengaturan dan pengawasan aset kripto dari Bappebti ke Otoritas Jasa Keuangan (OJK). #crypto #Bitcoin #blockvestglobal #news;2024-04-09 03:38:06+00:00;netral;transisi peralihan kewenangan pengaturan pengawasan aset kripto bappebti otoritas jasa keuangan ojk crypto bitcoin blockvestglobal news
@dokjauriel;kalo pinjol ilegal biasanya cm neror telpon aja gk sampe nyamperin ke rumah (gak tau jg sih), trs kalo berani ancem balik aja bakal dilaporkn ke OJK :);2024-04-09 03:34:46+00:00;netral;kalo pinjol ilegal cm neror telpon aja gk sampe nyamperin rumah gak tau jg sih trs kalo berani ancem aja dilaporkn ojk
@Momogie613;Agen asuransi dan orang ojk nih pada ga takut dosa ya?;2024-04-09 03:32:12+00:00;netral;agen asuransi orang ojk nih ga takut dosa ya
@casaneid;Beb bukannya mau nakut2in tp jangan banyak2 deposit di Bank Neo, dia ga dijamin sama BI OJK karna bunganya lebih tinggi dari ketentuan BI, tkutnya klo perusahaannya kenapa2, ga ada yg bisa jamin duit nasabah balik;2024-04-09 03:11:54+00:00;netral;beb nakutin tp deposit bank neo ga dijamin bi ojk karna bunganya ketentuan bi tkutnya klo perusahaannya ga yg jamin duit nasabah
@erenyuh;Asuransi swasta ini, bener - bener fucked up. Katanya diregulasi oleh OJK, tapi proteksi buat tertanggung mana ? Like, banyak yang udah bilang dijanjikan ini ina itu, programnya ini itu, tapi kurang bisa bertanggung jawab...;2024-04-09 03:09:18+00:00;netral;asuransi swasta bener bener fucked up diregulasi ojk proteksi tertanggung like udah bilang dijanjikan ina programnya bertanggung
@Mfthrrzkk;kerja di fnb sama layanan masyarakat;2024-04-09 02:22:15+00:00;netral;kerja fnb layanan masyarakat
@Mfthrrzkk;penyepong timoti ternyata anak pantek ini wkwkwkk sekolah dulu yg bener cil bocil ntar lu kena tipu nangess tolol bngt jadi orang, mau aja di bego begoin in flu encer;2024-04-09 02:08:23+00:00;netral;penyepong timoti anak pantek wkwkwkk sekolah yg bener cil bocil ntar lu kena tipu nangess tolol bngt orang aja bego begoin in flu encer
@idx_channel;Perdalam pasar, OJK finalisasi peraturan tentang transaksi efek https://idxchannel.com/market-news/perdalam-pasar-ojk-finalisasi-peraturan-tentang-transaksi-efek…;2024-04-09 02:00:01+00:00;netral;perdalam pasar ojk finalisasi peraturan transaksi efek
@alltimedazed;Kadang gue masih ga nyangka tiba2 kenalan sm orang ternyata org itu anaknya direktur ojk, dirut panasonic, yang punya sicepat, dll. Like damn ur parents are powerful isnt it;2024-04-09 01:11:38+00:00;netral;kadang gue ga nyangka kenalan sm orang org anaknya direktur ojk dirut panasonic sicepat dll like damn ur parent are powerful isnt it
@bianjingg;saur terakhir ram, ojk mokel dino iki;2024-04-08 23:44:14+00:00;netral;saur ram ojk mokel dino iki
@bianjingg;sahur terakhir mal, ojk mokel dino iki;2024-04-08 23:44:00+00:00;netral;sahur mal ojk mokel dino iki
@vienrosela;Tp aku udh keburu bayar kak, kesel bgt smpe digituin pdhl baru telat sehari. Pas tau ternyata dia dpt bonus kalau kita bayar, aku jd makin kesel. Jd aku pengen laporin DC nya ke ojk aja haha;2024-04-08 22:49:31+00:00;netral;tp udh keburu bayar kak kesel bgt smpe digituin pdhl telat sehari pa tau dpt bonus bayar jd kesel jd pengen laporin dc nya ojk aja haha
@coolcatmeowww;Gada cara lain selain lunasin, ini bakal ditagih terus dr pinjolnya krn kesadaran dari peminjam kalau dia minjam, maka dia yg tanggung jawab memenuhi, pihak pemberi pinjaman gatau adanya penipuan dibalik pinjaman, even pemberi pinajaman yg diawasi OJK pun, deal with it https://x.com/ven0mxoxo/stat/ven0mxoxo/status/1777256645481185491…;2024-04-08 22:36:16+00:00;positif;gada lunasin ditagih dr pinjolnya krn kesadaran peminjam minjam yg tanggung memenuhi pemberi pinjaman gatau penipuan dibalik pinjaman even pemberi pinajaman yg diawasi ojk deal with it
@kinderjoymurce;"eala mengecewakan, tk kiro opo, kadung exited, lakok masalah dijak mudik, emng sender kyke mikire sg due wong tuo mk dee tok mboh nder, btw minal minul sek, ojk mesoh"" ae, ga pareng";2024-04-08 22:02:43+00:00;negatif;eala mengecewakan tk kiro opo kadung exited lakok dijak mudik emng sender kyke mikire sg due tuo mk dee tok mboh nder btw minal minul sek ojk mesoh ae ga pareng
@SoulOfZundanese;Kalakuan teu cayaan, cayana ka OJK hungkul;2024-04-08 21:21:58+00:00;netral;kalakuan teu cayaan cayana ka ojk hungkul
@jibrannajibs_s8;Akhirnya Resmi juga gua dibuatkan Surat Izin Usaha sama Relawan Rumah Zakat terima Kasih atas Bantuan dananya dari Projek Ojk juga Yang telah Bantu UMKM semoga lancar rumah zakat dan Ojk thanks tuhan yang bakal balasa kebaikannya #Suratizinusaha #Jasalogo #Rumahzakat #OJk;2024-04-08 21:04:36+00:00;positif;resmi gua dibuatkan surat izin usaha relawan rumah zakat terima kasih bantuan dananya projek ojk bantu umkm semoga lancar rumah zakat ojk thanks tuhan balasa kebaikannya suratizinusaha jasalogo rumahzakat ojk
@denbagus_dl;Halo @ojkindonesia mhn perhatian, bukankah asuransi ini dibawah pengawasan OJK juga ya?;2024-04-08 20:50:34+00:00;netral;halo mhn perhatian asuransi dibawah pengawasan ojk ya
@bukanhadee;ramadhan pertama sama kaconk full lancarrr;2024-04-08 20:30:38+00:00;netral;ramadhan kaconk full lancarrr
@bukanhadee;bagi;2024-04-08 20:17:11+00:00;netral;
@bukanhadee;byohh arya;2024-04-08 20:10:10+00:00;netral;byohh arya
@inurmindbtch;emang ga waras ka, kredit pintar harus di laporin rame² ini mahh ke ojk. kalo sampe sebar data gausah di bayar ka;2024-04-08 18:47:44+00:00;netral;emang ga waras ka kredit pintar laporin rame² mahh ojk kalo sampe sebar data gausah bayar ka
@Mfthrrzkk;biasalah kelakuan rahayuk penyembah renkarnasi satrio piningit itu;2024-04-08 18:26:56+00:00;netral;biasalah kelakuan rahayuk penyembah renkarnasi satrio piningit
@DDungtek;Heran kenapa masih bnyk yg simpen di dana pdhl udah banyak kejadian duit ilang trus sekarang udah g dpet ijin dari OJK. Mending gopay g sih nyaman bisa disambungin ke tokped dpet cashback pula, ada gratis transfer tiap bulan, pulsa murah;2024-04-08 18:19:07+00:00;positif;heran bnyk yg simpen dana pdhl udah kejadian duit ilang trus udah g dpet ijin ojk mending gopay g sih nyaman disambungin tokped dpet cashback gratis transfer pulsa murah
@retizen_id;Dalam mendukung akselerasi upaya peningkatan literasi keuangan berbasis digital, OJK menyediakan infrastruktur literasi keuangan atau Learning Manegement System Edukasi Keuangan (LMSKU) yakni system pembelajaran berbasis website untuk memudahkan gene;2024-04-08 18:12:04+00:00;netral;mendukung akselerasi upaya peningkatan literasi keuangan berbasis digital ojk menyediakan infrastruktur literasi keuangan learning manegement system edukasi keuangan lmsku system pembelajaran berbasis website memudahkan gene
@alazka87;Ngono iku ojk di terusno mas, lanjut mene maneh;2024-04-08 18:10:29+00:00;netral;ngono iku ojk terusno ma mene maneh
@Mfthrrzkk;"kami menyebutnya ""Tumbuang""";2024-04-08 17:22:20+00:00;netral;menyebutnya tumbuang
@rizalLnyabesar;Wes ojk tukaran. Kalian berdua kirim skin ng aku, dah adil wkwkwk;2024-04-08 17:20:08+00:00;netral;wes ojk tukaran berdua kirim skin ng dah adil wkwkwk
@samidddi;makane lek miskin iku ojk males mas https://x.com/ub_mfs/status//ub_mfs/status/1777224707118600388…;2024-04-08 16:34:52+00:00;netral;makane lek miskin iku ojk male ma
@rismawirawan;tadi dr pihak OJK minta file pdf slik kak. kakak juga kasusnya serupa?coba kak di up juga aja disini :’);2024-04-08 16:23:10+00:00;netral;dr ojk file pdf slik kak kakak kasusnya serupacoba kak up aja
@sgrcndygf;gakpopo nder,wis ojk nangizz;2024-04-08 15:42:48+00:00;netral;gakpopo nderwis ojk nangizz
@SyafiraFalisha;OJK PANTAU PAYLATER | semakin banyak aduan OJK pantau ketat paylater ya guys #edukasi #konsultasigratis #solusi #jokipinjolamanah Sorotan Pengikut;2024-04-08 15:21:53+00:00;positif;ojk pantau paylater aduan ojk pantau ketat paylater ya guy edukasi konsultasigratis solusi jokipinjolamanah sorotan pengikut
@anoyvyns;Jadi ingat kemarin nomernya bos OJK di jadikan nomer darurat sama nasabah pinjol;2024-04-08 14:23:00+00:00;netral;kemarin nomernya bos ojk jadikan nomer darurat nasabah pinjol
@IDNTimes;OJK Catat Kenaikan Kredit Macet Pinjol, 360Kredi Lakukan Ini;2024-04-08 14:04:35+00:00;netral;ojk catat kenaikan kredit macet pinjol kredi lakukan
@Mfthrrzkk;tapi tetep aja profit bandaranya masuk ke kantong bos bos gudang garam perokok mah tetap penyakitan dan miskin petani tembakau tetap miskin juga;2024-04-08 12:00:30+00:00;netral;tetep aja profit bandaranya masuk kantong bos bos gudang garam perokok mah penyakitan miskin petani tembakau miskin
@Mfthrrzkk;kantornya mirip kost kosan, pesan di forward (berarti dikirim ke banyak orang) tiati nder tra di suruh gabung pialang atau penipuan;2024-04-08 11:56:33+00:00;sangat negatif;kantornya kost kosan pesan forward dikirim orang tiati nder tra suruh gabung pialang penipuan
